,author,feature,token_id,doc_id,to_report,doc_tested,len
42905,Dtr-ext,853,26743,Dtr|Deut.13,True,Deut.13,538
42906,Dtr-ext,3605,26744,Dtr|Deut.13,True,Deut.13,538
42907,Dtr-ext,1697,26745,Dtr|Deut.13,True,Deut.13,538
42908,Dtr-ext,d,26745,Dtr|Deut.13,True,Deut.13,538
42909,Dtr-ext,834,26746,Dtr|Deut.13,True,Deut.13,538
42910,Dtr-ext,595,26747,Dtr|Deut.13,True,Deut.13,538
42911,Dtr-ext,6680,26748,Dtr|Deut.13,True,Deut.13,538
42912,Dtr-ext,853,26749,Dtr|Deut.13,True,Deut.13,538
42913,Dtr-ext,[Sp2mp],26749,Dtr|Deut.13,True,Deut.13,538
42914,Dtr-ext,853,26750,Dtr|Deut.13,True,Deut.13,538
42915,Dtr-ext,[Sp3ms],26750,Dtr|Deut.13,True,Deut.13,538
42916,Dtr-ext,8104,26751,Dtr|Deut.13,True,Deut.13,538
42917,Dtr-ext,6213,26752,Dtr|Deut.13,True,Deut.13,538
42918,Dtr-ext,l,26752,Dtr|Deut.13,True,Deut.13,538
42919,Dtr-ext,3808,26753,Dtr|Deut.13,True,Deut.13,538
42920,Dtr-ext,3254,26754,Dtr|Deut.13,True,Deut.13,538
42921,Dtr-ext,5921,26755,Dtr|Deut.13,True,Deut.13,538
42922,Dtr-ext,[Sp3ms],26755,Dtr|Deut.13,True,Deut.13,538
42923,Dtr-ext,3808,26756,Dtr|Deut.13,True,Deut.13,538
42924,Dtr-ext,c,26756,Dtr|Deut.13,True,Deut.13,538
42925,Dtr-ext,1639,26757,Dtr|Deut.13,True,Deut.13,538
42926,Dtr-ext,4480,26758,Dtr|Deut.13,True,Deut.13,538
42927,Dtr-ext,[Sp3ms],26758,Dtr|Deut.13,True,Deut.13,538
42928,Dtr-ext,3588,26759,Dtr|Deut.13,True,Deut.13,538
42929,Dtr-ext,6965,26760,Dtr|Deut.13,True,Deut.13,538
42930,Dtr-ext,b,26761,Dtr|Deut.13,True,Deut.13,538
42931,Dtr-ext,7130,26761,Dtr|Deut.13,True,Deut.13,538
42932,Dtr-ext,[Sp2ms],26761,Dtr|Deut.13,True,Deut.13,538
42933,Dtr-ext,5030,26762,Dtr|Deut.13,True,Deut.13,538
42934,Dtr-ext,176,26763,Dtr|Deut.13,True,Deut.13,538
42935,Dtr-ext,2492,26764,Dtr|Deut.13,True,Deut.13,538
42936,Dtr-ext,2472,26765,Dtr|Deut.13,True,Deut.13,538
42937,Dtr-ext,c,26766,Dtr|Deut.13,True,Deut.13,538
42938,Dtr-ext,5414,26766,Dtr|Deut.13,True,Deut.13,538
42939,Dtr-ext,[Sp2ms],26767,Dtr|Deut.13,True,Deut.13,538
42940,Dtr-ext,413,26767,Dtr|Deut.13,True,Deut.13,538
42941,Dtr-ext,226,26768,Dtr|Deut.13,True,Deut.13,538
42942,Dtr-ext,176,26769,Dtr|Deut.13,True,Deut.13,538
42943,Dtr-ext,4159,26770,Dtr|Deut.13,True,Deut.13,538
42944,Dtr-ext,935,26771,Dtr|Deut.13,True,Deut.13,538
42945,Dtr-ext,c,26771,Dtr|Deut.13,True,Deut.13,538
42946,Dtr-ext,226,26772,Dtr|Deut.13,True,Deut.13,538
42947,Dtr-ext,d,26772,Dtr|Deut.13,True,Deut.13,538
42948,Dtr-ext,c,26773,Dtr|Deut.13,True,Deut.13,538
42949,Dtr-ext,d,26773,Dtr|Deut.13,True,Deut.13,538
42950,Dtr-ext,c,26773,Dtr|Deut.13,True,Deut.13,538
42951,Dtr-ext,834,26774,Dtr|Deut.13,True,Deut.13,538
42952,Dtr-ext,1696,26775,Dtr|Deut.13,True,Deut.13,538
